iter	Passed	Remaining
0	33	33229
1	80	40240
2	94	31479
3	113	28285
4	128	25603
5	143	23695
6	158	22486
7	174	21689
8	189	20843
9	204	20265
10	218	19611
11	231	19087
12	246	18683
13	259	18246
14	272	17923
15	283	17462
16	296	17152
17	307	16794
18	319	16496
19	331	16263
20	344	16062
21	359	15997
22	371	15798
23	386	15731
24	398	15542
25	411	15398
26	423	15264
27	435	15106
28	447	14982
29	530	17152
30	543	16974
31	558	16883
32	573	16810
33	589	16745
34	605	16698
35	620	16611
36	634	16520
37	649	16443
38	664	16380
39	680	16328
40	695	16266
41	710	16209
42	725	16144
43	740	16090
44	755	16026
45	769	15951
46	783	15893
47	798	15841
48	813	15793
49	829	15758
50	843	15701
51	859	15662
52	873	15611
53	888	15567
54	904	15537
55	918	15484
56	933	15441
57	947	15385
58	962	15346
59	976	15296
60	991	15268
61	1009	15275
62	1025	15246
63	1039	15202
64	1054	15162
65	1068	15124
66	1083	15085
67	1099	15074
68	1115	15050
69	1130	15014
70	1145	14987
71	1160	14960
72	1175	14921
73	1189	14889
74	1203	14844
75	1220	14835
76	1236	14817
77	1251	14788
78	1265	14755
79	1281	14731
80	1295	14692
81	1309	14660
82	1324	14636
83	1340	14615
84	1355	14591
85	1370	14564
86	1385	14536
87	1400	14514
88	1414	14474
89	1428	14447
90	1444	14425
91	1459	14403
92	1474	14381
93	1489	14352
94	1505	14339
95	1524	14353
96	1541	14352
97	1558	14346
98	1576	14351
99	1594	14353
100	1612	14349
101	1630	14355
102	1646	14338
103	1662	14321
104	1676	14293
105	1691	14269
106	1707	14251
107	1723	14236
108	1738	14214
109	1753	14188
110	1768	14163
111	1783	14140
112	1798	14115
113	1813	14096
114	1828	14071
115	1842	14043
116	1858	14023
117	1873	14005
118	1888	13983
119	1904	13962
120	1918	13936
121	1933	13912
122	1947	13887
123	1963	13871
124	1979	13853
125	1993	13825
126	2007	13800
127	2022	13780
128	2037	13759
129	2053	13739
130	2068	13718
131	2082	13697
132	2098	13681
133	2113	13655
134	2128	13636
135	2144	13621
136	2159	13605
137	2175	13587
138	2190	13566
139	2205	13549
140	2220	13527
141	2242	13548
142	2258	13533
143	2292	13629
144	2308	13609
145	2322	13585
146	2337	13565
147	2352	13542
148	2366	13518
149	2381	13496
150	2396	13476
151	2411	13451
152	2426	13433
153	2441	13410
154	2456	13389
155	2471	13369
156	2486	13348
157	2501	13328
158	2516	13309
159	2531	13291
160	2546	13272
161	2561	13250
162	2577	13235
163	2593	13221
164	2608	13200
165	2623	13180
166	2639	13164
167	2654	13145
168	2668	13123
169	2684	13104
170	2699	13086
171	2715	13071
172	2731	13056
173	2747	13040
174	2762	13021
175	2776	13000
176	2792	12982
177	2806	12959
178	2821	12941
179	2836	12920
180	2851	12901
181	2865	12877
182	2880	12859
183	2895	12841
184	2911	12825
185	2926	12806
186	2940	12784
187	2955	12764
188	2970	12746
189	2985	12726
190	3002	12718
191	3033	12764
192	3047	12743
193	3062	12724
194	3077	12704
195	3093	12688
196	3108	12670
197	3123	12653
198	3137	12630
199	3152	12609
200	3167	12591
201	3183	12575
202	3199	12560
203	3214	12541
204	3230	12526
205	3245	12507
206	3259	12485
207	3274	12467
208	3288	12446
209	3303	12427
210	3318	12410
211	3333	12391
212	3349	12374
213	3365	12360
214	3380	12343
215	3395	12325
216	3411	12310
217	3426	12290
218	3441	12274
219	3457	12256
220	3471	12237
221	3486	12218
222	3501	12200
223	3590	12437
224	3604	12415
225	3619	12397
226	3634	12375
227	3648	12352
228	3663	12335
229	3682	12327
230	3697	12309
231	3713	12292
232	3728	12272
233	3742	12250
234	3757	12231
235	3773	12215
236	3787	12194
237	3803	12177
238	3818	12158
239	3833	12139
240	3847	12117
241	3862	12098
242	3877	12078
243	3892	12060
244	3907	12040
245	3922	12021
246	3936	12001
247	3950	11978
248	3965	11960
249	3979	11939
250	3994	11918
251	4008	11899
252	4022	11876
253	4036	11854
254	4050	11833
255	4065	11814
256	4081	11799
257	4096	11781
258	4110	11760
259	4125	11741
260	4139	11721
261	4155	11705
262	4170	11686
263	4185	11667
264	4200	11650
265	4215	11632
266	4231	11615
267	4246	11598
268	4262	11582
269	4276	11563
270	4292	11546
271	4306	11526
272	4322	11510
273	4337	11493
274	4352	11474
275	4367	11456
276	4381	11435
277	4397	11419
278	4412	11401
279	4427	11384
280	4442	11367
281	4457	11350
282	4472	11330
283	4487	11314
284	4503	11298
285	4517	11278
286	4532	11259
287	4547	11243
288	4564	11228
289	4579	11211
290	4594	11193
291	4610	11177
292	4624	11158
293	4639	11141
294	4654	11123
295	4668	11102
296	4682	11083
297	4697	11066
298	4712	11049
299	4728	11032
300	4742	11012
301	4758	10997
302	4772	10978
303	4791	10970
304	4807	10954
305	4822	10936
306	4838	10921
307	4859	10917
308	4873	10898
309	4887	10879
310	4902	10861
311	4917	10842
312	4930	10822
313	4945	10805
314	4961	10788
315	4976	10771
316	4991	10754
317	5006	10737
318	5024	10725
319	5041	10712
320	5056	10695
321	5071	10677
322	5087	10663
323	5103	10647
324	5117	10629
325	5133	10613
326	5148	10595
327	5164	10581
328	5179	10564
329	5193	10544
330	5208	10527
331	5224	10511
332	5239	10495
333	5255	10478
334	5269	10460
335	5283	10441
336	5299	10426
337	5336	10451
338	5356	10444
339	5509	10695
340	5532	10691
341	5547	10673
342	5562	10654
343	5578	10637
344	5594	10621
345	5609	10603
346	5624	10584
347	5640	10567
348	5654	10547
349	5670	10531
350	5687	10516
351	5710	10511
352	5727	10498
353	5742	10479
354	5757	10460
355	5771	10441
356	5785	10420
357	5799	10399
358	5823	10397
359	5846	10393
360	5861	10375
361	5876	10357
362	5892	10340
363	5907	10321
364	5923	10305
365	5944	10298
366	5960	10279
367	5976	10264
368	5991	10245
369	6007	10228
370	6020	10207
371	6035	10189
372	6049	10168
373	6064	10150
374	6081	10135
375	6095	10115
376	6109	10096
377	6125	10079
378	6141	10063
379	6171	10069
380	6186	10051
381	6202	10034
382	6217	10016
383	6232	9998
384	6247	9979
385	6263	9962
386	6278	9945
387	6293	9927
388	6309	9910
389	6325	9893
390	6339	9874
391	6355	9857
392	6370	9839
393	6386	9822
394	6401	9804
395	6417	9787
396	6432	9770
397	6447	9752
398	6463	9735
399	6479	9718
400	6501	9711
401	6516	9693
402	6531	9675
403	6546	9658
404	6629	9739
