iter	Accuracy	Logloss
0	0.8084544254	0.5690632936
1	0.821664465	0.4917825646
2	0.8150594452	0.4557967475
3	0.822985469	0.4264093269
4	0.8295904888	0.4146082277
5	0.8282694848	0.4048243691
6	0.8282694848	0.397000499
7	0.8414795244	0.3870402452
8	0.8480845443	0.3802525402
9	0.8467635403	0.374592772
10	0.8441215324	0.3732315238
11	0.8467635403	0.3683239132
12	0.856010568	0.3616610948
13	0.856010568	0.3596551575
14	0.856010568	0.3549499031
15	0.8546895641	0.3506372473
16	0.858652576	0.3475349999
17	0.8612945839	0.3434726359
18	0.8678996037	0.3414495531
19	0.8692206077	0.3400882866
20	0.8692206077	0.337781282
21	0.8678996037	0.333418623
22	0.8692206077	0.3317617493
23	0.8705416116	0.3293796877
24	0.8705416116	0.3290795555
25	0.8705416116	0.3255709496
26	0.8718626156	0.3248354399
27	0.8731836196	0.3241466197
28	0.8758256275	0.3213765039
29	0.8665785997	0.3198960879
30	0.8665785997	0.3192137988
31	0.8758256275	0.3146613528
32	0.8797886394	0.3105742905
33	0.8811096433	0.3102504903
34	0.8850726552	0.3073074037
35	0.8863936592	0.3064465286
36	0.8863936592	0.3060982504
37	0.8877146631	0.3052645794
38	0.891677675	0.3016932625
39	0.891677675	0.3013920505
40	0.894319683	0.3006666837
41	0.892998679	0.3000159614
42	0.8956406869	0.294063376
43	0.8996036988	0.291241657
44	0.9022457067	0.2874034968
45	0.9009247028	0.2833802405
46	0.9035667107	0.2827297004
47	0.9009247028	0.2822719352
48	0.9022457067	0.2805817859
49	0.9035667107	0.2752232489
50	0.9035667107	0.2749057269
51	0.9035667107	0.2746334997
52	0.9022457067	0.2714788713
53	0.9048877147	0.2689629179
54	0.9048877147	0.2661163789
55	0.9101717305	0.2625241528
56	0.9101717305	0.2616648857
57	0.9101717305	0.2608088752
58	0.9114927345	0.2606349853
59	0.9114927345	0.2602951642
60	0.9141347424	0.2560961415
61	0.9101717305	0.2524729922
62	0.9101717305	0.2517544261
63	0.9180977543	0.2467734182
64	0.9180977543	0.2433612844
65	0.9167767503	0.2430284168
66	0.9167767503	0.2424753585
67	0.9207397622	0.2394070108
68	0.9207397622	0.2393099524
69	0.9247027741	0.2353551262
70	0.9247027741	0.2331758437
71	0.9247027741	0.2329230884
72	0.927344782	0.2280466985
73	0.927344782	0.2256577645
74	0.927344782	0.2243499471
75	0.9339498018	0.2216622983
76	0.9339498018	0.2214193944
77	0.9339498018	0.2212521299
78	0.9339498018	0.2200637496
79	0.9339498018	0.2162884595
80	0.9352708058	0.2155387384
81	0.9352708058	0.2139467589
82	0.9352708058	0.2137094945
83	0.9352708058	0.2135965144
84	0.9339498018	0.2109575602
85	0.9352708058	0.2080365273
86	0.9352708058	0.2075810683
87	0.9352708058	0.2074199515
88	0.9365918098	0.2071736444
89	0.9339498018	0.20585157
90	0.9339498018	0.2054233812
91	0.9379128137	0.2041208466
92	0.9379128137	0.202487231
93	0.9379128137	0.2023506647
94	0.9365918098	0.2008503763
95	0.9379128137	0.1994657052
96	0.9379128137	0.1984939937
97	0.9418758256	0.1965130384
98	0.9418758256	0.1954069662
99	0.9418758256	0.1947857637
100	0.9418758256	0.1946523469
101	0.9431968296	0.1916163997
102	0.9418758256	0.1911387225
103	0.9418758256	0.1904273815
104	0.9418758256	0.1895319682
105	0.9405548217	0.1882402841
106	0.9458388375	0.1859723409
107	0.9458388375	0.1854353236
108	0.9458388375	0.1853166189
109	0.9458388375	0.1851160221
110	0.9458388375	0.1850128328
111	0.9458388375	0.1847000963
112	0.9511228534	0.1826202888
113	0.9511228534	0.1820972831
114	0.9511228534	0.1819547312
115	0.9511228534	0.1814181378
116	0.9511228534	0.1809261475
117	0.9511228534	0.1802347935
118	0.9511228534	0.1788897271
119	0.9498018494	0.1783872891
120	0.9498018494	0.1783235345
121	0.9498018494	0.1764544972
122	0.9498018494	0.1761645278
123	0.9498018494	0.1760589856
124	0.9498018494	0.1756149931
125	0.9498018494	0.1732833836
126	0.9498018494	0.173198989
127	0.9498018494	0.173066278
128	0.9537648613	0.1727760971
129	0.9550858653	0.1700775082
130	0.9550858653	0.1697392286
131	0.9550858653	0.1695487391
132	0.9537648613	0.1693429717
133	0.9537648613	0.1693104571
134	0.9537648613	0.1685085414
135	0.9537648613	0.1669593767
136	0.9537648613	0.1666560451
137	0.9550858653	0.1650149313
138	0.9537648613	0.1632321731
139	0.9537648613	0.1631885092
140	0.9550858653	0.1619217319
141	0.9564068692	0.1603585074
142	0.9564068692	0.1599466225
143	0.9550858653	0.1581473178
144	0.9550858653	0.157506098
145	0.9550858653	0.1574183964
146	0.9577278732	0.1564836487
147	0.9577278732	0.156090607
148	0.9590488771	0.1528539263
149	0.9616908851	0.1521389442
150	0.9616908851	0.1515797011
151	0.9616908851	0.1509748287
152	0.9616908851	0.1507709025
153	0.9616908851	0.1506459009
154	0.963011889	0.1499841381
155	0.963011889	0.1497944302
156	0.963011889	0.1490622391
157	0.963011889	0.149015279
158	0.964332893	0.1482924713
159	0.964332893	0.1480425331
160	0.963011889	0.1471488981
161	0.964332893	0.1468964515
162	0.9669749009	0.1457209458
163	0.9682959049	0.1453490908
164	0.9682959049	0.1449402604
165	0.9682959049	0.1444391815
166	0.9682959049	0.1442195346
167	0.9682959049	0.1434403905
168	0.9669749009	0.1416676083
169	0.9669749009	0.1411915279
170	0.9669749009	0.1404109545
171	0.9682959049	0.1400137584
172	0.9682959049	0.1398409979
173	0.9682959049	0.1395696343
174	0.9682959049	0.1390549602
175	0.9669749009	0.1385215348
176	0.9669749009	0.138185652
177	0.9669749009	0.138124936
178	0.9669749009	0.1371158265
179	0.9669749009	0.1359228298
180	0.9669749009	0.1356914117
181	0.9669749009	0.1356333788
182	0.9669749009	0.135098282
183	0.9669749009	0.1348411025
184	0.9669749009	0.1340158618
185	0.9669749009	0.1339258494
186	0.9669749009	0.1335647722
187	0.9669749009	0.1330318581
188	0.9682959049	0.1313130415
189	0.9696169089	0.1311150629
190	0.9682959049	0.1306884275
191	0.9696169089	0.1302310093
192	0.9682959049	0.129883349
193	0.9682959049	0.129852863
194	0.9682959049	0.1298087667
195	0.9696169089	0.1293507705
196	0.9696169089	0.1272877449
197	0.9709379128	0.1271558899
198	0.9722589168	0.1266707046
199	0.9722589168	0.1266401112
200	0.9722589168	0.1265268116
201	0.9735799207	0.1239604631
202	0.9722589168	0.1235910982
203	0.9722589168	0.1235753257
204	0.9735799207	0.1229914677
205	0.9735799207	0.1225753522
206	0.9735799207	0.1225416314
207	0.9735799207	0.1222688233
208	0.9735799207	0.1222102399
209	0.9735799207	0.1218542953
210	0.9749009247	0.1212684586
211	0.9749009247	0.12027382
212	0.9749009247	0.1200565475
213	0.9749009247	0.1198152089
214	0.9749009247	0.1192393764
215	0.9749009247	0.1191189901
216	0.9749009247	0.1187070657
217	0.9735799207	0.1178629028
218	0.9735799207	0.1176627264
219	0.9735799207	0.1169457092
220	0.9735799207	0.1167128592
221	0.9735799207	0.1166973851
222	0.9749009247	0.1158911029
223	0.9735799207	0.1151969894
224	0.9749009247	0.1149298618
225	0.9749009247	0.1148617264
226	0.9749009247	0.1146954264
227	0.9749009247	0.1140082637
228	0.9735799207	0.1137358079
