iter	Passed	Remaining
0	3	1690
1	7	1873
2	11	1868
3	15	1969
4	19	1936
5	22	1864
6	27	1923
7	31	1915
8	34	1878
9	38	1899
10	41	1854
11	46	1891
12	50	1909
13	52	1828
14	57	1849
15	60	1826
16	63	1792
17	65	1754
18	70	1784
19	76	1824
20	81	1855
21	86	1880
22	93	1929
23	98	1950
24	103	1961
25	108	1973
26	114	2010
27	118	2004
28	124	2022
29	130	2038
30	136	2057
31	140	2051
32	145	2061
33	148	2038
34	152	2027
35	158	2036
36	162	2035
37	168	2043
38	173	2048
39	179	2063
40	185	2071
41	190	2073
42	195	2073
43	199	2065
44	202	2043
45	205	2029
46	209	2022
47	211	1989
48	213	1967
49	218	1963
50	220	1938
51	224	1930
52	228	1923
53	232	1921
54	238	1928
55	243	1928
56	247	1921
57	249	1904
58	254	1899
59	258	1894
60	262	1887
61	267	1886
62	271	1881
63	273	1861
64	277	1856
65	280	1844
66	284	1840
67	288	1831
68	292	1829
69	296	1820
70	301	1819
71	304	1810
72	309	1809
73	314	1810
74	319	1810
75	322	1801
76	328	1806
77	334	1807
78	339	1807
79	341	1794
80	346	1791
81	350	1788
82	355	1784
83	360	1784
84	364	1781
85	369	1779
86	375	1780
87	379	1776
88	383	1768
89	388	1768
90	392	1763
91	395	1756
92	401	1755
93	407	1758
94	412	1758
95	417	1756
96	422	1753
97	426	1750
98	431	1748
99	436	1746
100	441	1744
101	445	1739
102	449	1732
103	454	1731
104	460	1730
105	465	1728
106	470	1727
107	475	1724
108	479	1721
109	484	1718
110	488	1712
111	493	1708
112	498	1706
113	503	1705
114	508	1702
115	513	1699
116	518	1696
117	522	1691
118	526	1684
119	530	1681
120	535	1677
121	541	1676
122	545	1670
123	548	1663
124	553	1660
125	558	1658
126	563	1654
127	568	1651
128	572	1645
129	575	1638
130	580	1635
131	586	1634
132	590	1629
133	595	1626
134	599	1620
135	604	1617
136	608	1613
137	613	1609
138	618	1606
139	623	1603
140	629	1601
141	633	1597
142	637	1591
143	642	1587
144	646	1582
145	650	1578
146	655	1574
147	659	1567
148	663	1564
149	668	1559
150	672	1555
151	676	1549
152	680	1543
153	685	1539
154	690	1536
155	694	1530
156	698	1525
157	703	1522
158	708	1519
159	712	1514
160	717	1509
161	722	1507
162	727	1503
163	731	1498
164	736	1495
165	741	1492
166	746	1489
167	751	1485
168	756	1481
169	761	1478
170	765	1472
171	769	1468
172	774	1463
173	779	1460
174	784	1457
175	789	1453
176	794	1450
177	800	1447
178	804	1443
179	810	1440
180	814	1435
181	817	1427
182	821	1422
183	825	1418
184	830	1414
185	835	1410
186	840	1406
187	845	1402
188	849	1398
189	854	1394
190	859	1390
191	864	1387
192	869	1383
193	874	1379
194	878	1373
195	883	1370
196	887	1365
197	891	1359
198	895	1355
199	900	1350
200	904	1345
201	908	1340
202	912	1334
203	917	1330
204	921	1326
205	925	1321
206	930	1317
207	934	1312
